uw_netid,student_no,student_name_lowc,premajor,activity,assignments,grades,pred,adviser_name,staff_id
jlogrp72,7623353,Ruben Smith,0,-0.4,4.7,3.3,2.9,Irene Feldman,ekhymj67
pbvkcm36,4074331,Paul Cummings,0,3,2.1,4.4,1.3,Emily Santos-Bacca,esb99
xgnbsl98,3624169,Lois Jessup,0,0,3.1,3.6,4.4,Irene Feldman,ekhymj67
boyyjb10,2874569,Adam Carey,0,-3.8,-3.2,0,-3.2,Jeanne Mason,cnotli32
snxqpc79,2933886,Andy Carlson,0,-0.7,2.1,2,3.9,Jeanne Mason,cnotli32
fbsjji56,5192138,Kenneth Ames,1,-99,-99,-99,-99,Luis Yoxall,flgkpr62
grllma75,4268752,Tamara Gauvin,1,-1.9,1.6,2.9,2.3,Emily Santos-Bacca,esb99
lwmttr40,4308008,Bryan Johnson,1,-2.4,2.6,4.7,3.6,Basia Murton,bm8567
qvscam24,0358448,Eugene Hohman,0,-0.2,3.8,4.3,2.6,Anne Hernandez,ssujpa10
prrpok14,1403006,Carolyn Scovill,0,1,2.9,1.9,2.5,Jeanette Lindley,mmxgfl83
rgcvbt76,2503342,Albert Mcgowan,0,-4.5,-4.4,-1.6,-4.9,Fred Johnson,fj123
bsouxj84,3619884,William Rasmussen,0,1.8,2.8,2.9,1.8,Emily Santos-Bacca,esb99
ahvqot09,9186116,Harriet Go,0,-2.4,-0.4,3.5,3.3,Paul Prince,wndznn45
neathk57,2446168,Ruth Bowman,1,1.3,2.5,1.8,-4.2,Anne Hernandez,ssujpa10
bwrhgb54,8659357,Vivian Tyrrell,0,1,1,0.9,1.4,Samuel Dalton,wpqorn73
fzvhyc09,8486896,Albert Lewis,0,-3.2,-1.2,4.2,4.7,Paul Prince,wndznn45
sgxyvj38,8978953,David Freudenstein,1,1.1,2.2,4.7,2,Fred Johnson,fj123
vwhwdx07,5826504,Billy Jones,0,0.3,1.6,-0.8,4.1,Irene Feldman,ekhymj67
zhtsek60,9184138,Leonard Tennies,0,1.3,3.1,4.7,3.3,Emily Santos-Bacca,esb99
ycbiqr74,3953069,Phyllis Strickland,0,-2.7,-2.5,-1,3.4,Patricia Jackson,hfyvek38
qcoozo22,3262151,Terry Thomas,0,-0.4,1.5,2.3,2,Dawn Curtin,sweucq96
qgkjks63,1995895,Helen Ishee,1,-1.7,3.3,1.3,-3.8,Michelle Cuellar,oqgnwy64
mifrdx78,5810288,Albert Kenny,0,0.3,2.1,3.6,3,Michelle Cuellar,oqgnwy64
bpgsvp01,6741474,Angelica Griffin,0,1.3,3.6,4,-1.5,Anne Hernandez,ssujpa10
qdixbl60,7037964,Charles Mach,0,-2,1.5,2.3,4.1,Kenyatta Berrios,ysftax93
rsrdnv27,4091214,James Polley,0,-2.3,-1,0.2,-4.2,Samuel Dalton,wpqorn73
muqfag10,8113623,Felipe Foster,0,0.3,0.6,2.1,2.7,Samuel Dalton,wpqorn73
futeas00,9925086,Eva Lillibridge,0,1.2,3,4.7,3.8,Basia Murton,bm8567
ohkxez66,3819595,John Hruby,0,-3.1,2.3,4.8,3,Michelle Cuellar,oqgnwy64
aphqkm40,8280421,Billy Reinwald,0,-2,-0.6,1.3,2.6,Emily Santos-Bacca,esb99
fnwltg18,8797173,Joann Klein,1,-1.3,2.8,1,-4.7,Jeanette Lindley,mmxgfl83
olfbmp92,7160859,Rachel Craig,1,-1.8,-0.3,3,-4.8,Emily Santos-Bacca,esb99
jusccm34,6309319,Corrie Lima,0,2,3.7,3.6,3.6,Marie Roberts,vnxici28
oequys41,3291369,Shirley Womble,0,-0.1,1.6,4.4,0.5,Paul Prince,wndznn45
avtqnb41,0684778,William Smith,0,-3.4,-0.3,-1.3,-1.7,Samuel Dalton,wpqorn73
puqrwr59,8604092,Cynthia Torres,0,-2.1,-1,0.4,3.1,Patricia Jackson,hfyvek38
nunrum44,0220625,Harry Hernandez,0,-0.4,3,2.3,3.5,Kenyatta Berrios,ysftax93
tvmliv21,1819104,Martha Williams,0,0.2,3.9,2.7,3.8,Jeanne Mason,cnotli32
vojspk26,1254594,Alberta Penner,1,2.8,4.1,3.8,3.3,Jeanne Mason,cnotli32
vqoylk47,7869664,Ramon Decoteau,0,0.3,2.7,3.8,3.3,Dawn Curtin,sweucq96
soogdc53,8001517,Elmer Haynie,0,-0.4,2.1,2.8,-3.8,Irene Feldman,ekhymj67
xesvbz78,0058145,Stella Schaefer,0,0.4,3.3,3.4,1.1,Emily Santos-Bacca,esb99
srlmyz57,0022906,Mark Goodhart,0,0.8,2.6,4.5,2.2,Anne Hernandez,ssujpa10
ivuqsh98,9886059,Kevin Treinen,0,0,3.8,1.5,1.2,Jeanne Mason,cnotli32
zqiepd25,6501118,Connie Wilkinson,1,-2.5,-1.1,-0.9,0.1,Jeanette Lindley,mmxgfl83
jdegys75,5289695,Tiffany Uvalle,0,-2.1,1.9,1.6,3.8,Anne Hernandez,ssujpa10
ofulwa59,5946054,Kathaleen Beasley,1,-1,1.9,3.1,3.1,Luis Yoxall,flgkpr62
smgijn23,9922171,Carmen Spivey,0,-1.3,2.8,0.1,-1.5,Jeanette Lindley,mmxgfl83
xzyyed44,4901119,Jeffrey Bliss,0,3.2,4.6,3.5,2.5,Luis Yoxall,flgkpr62
zmlrfu12,8386742,Mark Lee,1,2.5,3.6,4,-0.4,Michelle Cuellar,oqgnwy64
gjthvq19,4821868,Carol Mosley,0,0.2,2.2,0,3.7,Dawn Curtin,sweucq96
molpww40,8518688,Robert Torrez,1,-0.7,4.3,4.7,3.7,Michelle Cuellar,oqgnwy64
sggnjz86,0634354,Gregory Bonilla,1,0.2,3.9,3,1.2,Dawn Curtin,sweucq96
hyoapz81,0636287,Anthony Harmon,0,-0.9,-0,3.9,3.9,Irene Feldman,ekhymj67
oxhquf44,0200819,Jacqueline Voll,1,0.2,2.9,4,3.5,Anne Hernandez,ssujpa10
bpjsuc43,4319028,Marilyn Jones,1,-1.7,0.9,0.4,-0.2,Samuel Dalton,wpqorn73
oqbsev11,3009786,Peter Norris,1,-0.9,4.1,4.9,-0.5,Emily Santos-Bacca,esb99
jdenhr68,3306901,Alan Marshall,0,-3.5,-4.2,-4,-1,Emily Santos-Bacca,esb99
osncrn84,4072991,Scott Goodman,0,-0.6,4.2,3.2,3.5,Irene Feldman,ekhymj67
rsmmjg56,0846011,Eddie Nehls,1,-0,3,5,-4.3,Kenyatta Berrios,ysftax93
qcsrql10,7431004,Laura Leonard,1,-3.5,3.1,-2.7,-4.1,Emily Santos-Bacca,esb99
gpnxjc50,9046317,Frank Reid,1,-0.5,-1,0.2,0.1,Luis Yoxall,flgkpr62
mxtpbq98,9882393,Beatrice Barnett,0,-0.8,-0.5,2.4,3.5,Basia Murton,bm8567
grzkfc21,1398962,Tyrone Tiano,1,-2.8,0.3,0.5,-1,Patricia Jackson,hfyvek38
ftyrvt15,2114415,Lee Bean,0,0.6,3.6,3.7,2.7,Kenyatta Berrios,ysftax93
zevkek01,2747410,Vivian Frediani,0,-1.1,-1.4,3,4.2,Emily Santos-Bacca,esb99
glndda01,4531160,Nicholas Carnes,1,-3,-2.7,-3,-0.3,Jeanette Lindley,mmxgfl83
hhmmyx76,2283099,Ann Weekly,0,1.2,2.2,3.6,3.3,Michelle Cuellar,oqgnwy64
nlgvtr80,8818845,Janet Reed,0,0.4,3.2,1.4,-4.3,Paul Prince,wndznn45
zutmih74,2144789,Michael Harris,1,-1.7,0.7,-2.2,-4.9,Paul Prince,wndznn45
fdbglq43,0756424,Amy Emmanuel,0,-2.8,-1.5,-1.8,-0.3,Anne Hernandez,ssujpa10
bgjxik71,5834968,Cheryl Rezak,0,1,-0.4,4.9,-1.3,Michelle Cuellar,oqgnwy64
syjpxy59,4729279,James Congrove,0,2,4.1,3.8,2.3,Luis Yoxall,flgkpr62
wvthaw22,2530757,Robert Dodge,0,-1.1,1.7,2.1,1.8,Samuel Dalton,wpqorn73
uuuvxi73,4183865,Joshua Chalker,0,-0.1,2.7,4.2,3.6,Irene Feldman,ekhymj67
ozmxhk87,2607806,Peggy Wing,1,1.1,1.9,3.4,2.2,Dawn Curtin,sweucq96
rkcued10,7512858,Julian Lockman,1,0.4,2.7,1.6,-1.9,Anne Hernandez,ssujpa10
voxmzn97,4030069,Robert Murphy,1,-1.1,2.5,2,-3.8,Samuel Dalton,wpqorn73
zipwuo50,8366171,Lori Honkanen,0,0,0.1,-0.5,-3.1,Paul Prince,wndznn45
xkuhsf72,2700738,Amber Cannon,1,0.2,0.9,-99,3.5,Irene Feldman,ekhymj67
pqnvhy36,7831223,Charles Riggins,0,-2.5,0.6,1.1,3.1,Michelle Cuellar,oqgnwy64
rvuktg13,0785918,Jack Hall,1,-0.3,1.6,2.9,-3.3,Jeanne Mason,cnotli32
wzcchu13,1452041,Nancy Cunningham,0,0.6,1.1,-0.1,-4.7,Anne Hernandez,ssujpa10
franui82,8766684,Jerome Davis,0,-0.1,3.9,4.3,-0.6,Paul Prince,wndznn45
zggcdo43,2841970,Gwen Marshall,0,-2.7,1.6,4.1,1.4,Emily Santos-Bacca,esb99
xtuism72,5670478,Kylee Peters,0,-0.2,0.5,-0.2,-1.2,Paul Prince,wndznn45
bkuepu88,7773878,Jami Bell,0,-2.3,0.7,2.4,-1.7,Anne Hernandez,ssujpa10
heusnp03,4042834,Kim Delagarza,1,-1.1,3.7,1.4,-3.4,Emily Santos-Bacca,esb99
knmqdp41,2110453,Wanda Paisley,0,2.6,3.1,4.7,4.4,Marie Roberts,vnxici28
jdrrgi88,0806040,Melinda Mcniel,0,-4.8,-3.3,-3.8,-4.2,Dawn Curtin,sweucq96
nmjfjo70,2688631,George Smith,1,-1.6,3.8,4.4,1.8,Marie Roberts,vnxici28
nstyvo21,5491510,Darlene Boos,0,-2.6,-1.6,-0.4,4.3,Samuel Dalton,wpqorn73
dkcwyl17,2806124,Irene Hickey,0,-1.3,2.5,3,-1.3,Dawn Curtin,sweucq96
yngrbg47,4153256,Loyd Polk,0,0.7,2.9,3.8,3.3,Patricia Jackson,hfyvek38
jvtndj54,6592652,David Schulle,0,0.5,4.6,2,3.8,Anne Hernandez,ssujpa10
ehqlzn25,3394755,Gloria Turnbull,0,-2.4,3.1,3.4,2.8,Kenyatta Berrios,ysftax93
qpneol55,8003387,Donna Ching,1,2.2,4.1,3.8,1.2,Basia Murton,bm8567
ahldwk92,3323013,Anne Mullins,1,0.6,4.6,3.4,3.4,Luis Yoxall,flgkpr62
qngebi60,8987520,Rachel Samber,0,-3.1,-3.2,-4.2,-2.4,Kenyatta Berrios,ysftax93
ukkulk83,5443059,Grace Sturm,1,-2,3.6,3.7,1.5,Paul Prince,wndznn45
zlxpla99,2508696,Scott Brock,0,0.7,1.6,4.9,4.3,Marie Roberts,vnxici28
yqrvda67,2517731,Betty Black,0,-2.3,3.1,1.3,-4.6,Anne Hernandez,ssujpa10
axshqd50,5963497,Roberta Winkler,1,3.3,3.4,3.7,4.8,Jeanette Lindley,mmxgfl83
ytwxfb90,0670018,Kathleen Diaz,0,-2.3,3.5,4.4,-0,Jeanne Mason,cnotli32
adlmro55,2608621,William Furches,1,2,3.4,3.5,2.2,Kenyatta Berrios,ysftax93
ynpapv96,8926343,Craig Rolf,0,3.7,4.3,4.4,3.7,Patricia Jackson,hfyvek38
fmzrcd91,8842362,Gregory Bowden,0,-0.6,4.9,3,3.5,Irene Feldman,ekhymj67
eitvwe38,6056866,Jerry Stansel,1,-1.6,0.4,3.5,-2.2,Basia Murton,bm8567
zucutt65,2194939,Beatrice Murray,1,0.1,2.1,0.8,-3.2,Anne Hernandez,ssujpa10
eqhapw35,0380527,Calvin Cavazos,1,3.2,3.3,5,0.5,Luis Yoxall,flgkpr62
qbdmck57,7311841,Susan Nelson,0,-99,-99,-99,4.9,Irene Feldman,ekhymj67
ltokve84,0725124,Norma Gilleland,1,-2.5,0.7,1.9,1.3,Emily Santos-Bacca,esb99
kizyui35,2220101,Merlin Archibald,0,-1.7,-0,4.5,1.1,Luis Yoxall,flgkpr62
lnxsfu83,6018838,Miles Vinz,0,-1.3,1.7,3.4,2.9,Patricia Jackson,hfyvek38
zlndsa30,8631486,Calvin Mitchell,0,1.5,2.1,3.8,3.1,Irene Feldman,ekhymj67
hkgatk17,8111288,Mable Thompson,1,1.2,3.7,3.2,-1.2,Marie Roberts,vnxici28
tegtny85,1681703,Aida Fountain,0,-3.9,2.7,4.7,4.7,Emily Santos-Bacca,esb99
wmhnrf57,8380307,Billy Veatch,0,-2,1.4,2.2,2.2,Anne Hernandez,ssujpa10
mifnoe59,8111082,Lanita Gary,1,-1.7,2.7,1,-4.4,Jeanne Mason,cnotli32
rjcqxq56,8816742,Jennifer Salvador,1,0.1,3.9,3.1,3.8,Jeanne Mason,cnotli32
kvgxwl80,2669681,Boyd Reppe,0,1,3.9,3.7,2.3,Kenyatta Berrios,ysftax93
ovzcko20,9241394,Robin Luna,1,-0.7,1.2,-1.2,-5,Jeanette Lindley,mmxgfl83
gugqrj01,6240631,Jason Jack,0,-1,-1.2,0,-2.3,Luis Yoxall,flgkpr62
ycsoyj20,5923641,Iola Long,0,-2.4,0.5,1.8,3.9,Luis Yoxall,flgkpr62
vuzghv57,1303045,Jerrie Gigliotti,0,2.2,3.5,3.9,4.4,Emily Santos-Bacca,esb99
xmveej72,9038590,Michelle Huizar,0,1.8,2.5,1.5,1.8,Paul Prince,wndznn45
bfclyf49,3704272,Sharon Allen,1,0.7,3.3,4.7,2.9,Kenyatta Berrios,ysftax93
usvcxd46,6423310,Elouise Kelly,1,0.6,3.7,4.5,3.7,Luis Yoxall,flgkpr62
xqvkzv51,6066241,Melissa Wiley,0,-0.7,3.4,1.3,3.2,Irene Feldman,ekhymj67
sioiwl90,1966047,Donna Allen,0,-1.9,4,3.4,3.2,Jeanne Mason,cnotli32
sxjmfe70,7313790,Frances Dunn,0,-0.8,-0.8,-0.6,3.4,Samuel Dalton,wpqorn73
nawzyn64,5687029,Douglas Greene,0,-2,1.7,3.7,3.4,Samuel Dalton,wpqorn73
qecslt05,9380058,Earline Bosserman,0,1.6,2.2,1.8,-0.7,Michelle Cuellar,oqgnwy64
kiosoc46,3033849,Shirley Werley,0,-5,-5,-3.3,4.2,Basia Murton,bm8567
iacnai95,1044623,Jeremiah Linzan,0,1.9,4.2,4.5,-2.3,Paul Prince,wndznn45
ttyqsn30,0659197,Terry Mcdonald,0,1.7,2.2,2.3,2.6,Dawn Curtin,sweucq96
qfhmoe12,8955231,Donald Arellano,0,-1.3,2.1,2.9,-1.3,Samuel Dalton,wpqorn73
oljnqg85,4843011,Larry Lanier,0,0.4,1.8,0.7,-1,Patricia Jackson,hfyvek38
hziywm98,1326833,Richard Maxham,0,-0.9,3.3,2.4,3.4,Irene Feldman,ekhymj67
sdzxdd09,4453375,Linda Songer,0,-2.8,3.1,2.6,-5,Samuel Dalton,wpqorn73
fxgkuo35,8216630,Patricia Blair,0,0.2,1.6,3,-0.7,Samuel Dalton,wpqorn73
yhfzeg58,5573595,Richard Breitenstein,1,0.3,3.4,1.6,-1.9,Michelle Cuellar,oqgnwy64
fchztm52,2799861,Gerald Webb,0,-2.6,1,2,-0.5,Jeanne Mason,cnotli32
asntge76,9100821,Jennifer Schwartz,0,2.8,3.8,4.2,3.7,Dawn Curtin,sweucq96
zfbezt44,4378143,Soon Morse,1,0,4.6,2.2,3.4,Irene Feldman,ekhymj67
dzmmty40,0527781,Aldo Lentz,0,3.2,4.4,4.9,4.5,Fred Johnson,fj123
widkvs85,1420819,Annie Kaizer,0,1.1,4.4,4.8,4.5,Luis Yoxall,flgkpr62
qwkhru69,6372583,Elda Beltran,0,-1.1,3.5,3.7,-2.3,Emily Santos-Bacca,esb99
onmnka93,0085542,Gladys Mallory,0,-0.1,3.1,2.4,-4.8,Emily Santos-Bacca,esb99
sfesfw31,2861367,Donnell Storie,0,-0.5,2.8,3,3.7,Irene Feldman,ekhymj67
abteln12,6820981,Leonard Dwyer,0,0.9,4.2,4.6,1.6,Luis Yoxall,flgkpr62
fkogrt24,0474654,Evelyn Kalas,1,-3,1.1,-1.8,-4.6,Kenyatta Berrios,ysftax93
uuxdwm14,9898371,Dean Huber,0,0,1.4,1.7,-5,Jeanette Lindley,mmxgfl83
sojfzm77,7024544,Kenneth Carbonaro,0,1.3,4.6,1.4,4.9,Patricia Jackson,hfyvek38
omuhuo90,4845736,Donna Cowley,1,-1.3,2,2.7,1.3,Basia Murton,bm8567
wgjkmi44,5028249,Carol Whitecotton,0,-2,1.8,2.2,1,Michelle Cuellar,oqgnwy64
ykmhhx82,2443827,Jason Breslin,0,0.8,4.8,3.5,4.4,Anne Hernandez,ssujpa10
hgomak59,9287167,Wendy Bettendorf,0,-1.4,-0.2,2.3,3.8,Fred Johnson,fj123
nqzpps19,4799613,Elizabeth Gillis,0,-99,-99,-99,-99,Irene Feldman,ekhymj67
madjsx89,9603543,Kelvin Benton,0,0.5,3.5,4.1,3.2,Kenyatta Berrios,ysftax93
gtufdx97,3237307,Helen Heinbach,0,0.1,2.5,-1.2,-4.2,Anne Hernandez,ssujpa10
zwuilm78,4574547,Raymond Davis,1,1,3,1.7,0.9,Patricia Jackson,hfyvek38
vjghuq95,1602764,Leslie Hoover,1,-2.5,2.5,3.2,4.1,Luis Yoxall,flgkpr62
cjaqea40,3994341,Charity Banks,1,-0.9,4.4,3.6,2,Emily Santos-Bacca,esb99
evuqbk68,4691350,Robert Mathey,0,-1.1,0.9,3.2,1.8,Michelle Cuellar,oqgnwy64
zzdyfy27,2066665,Nancy Broege,1,-1.7,-1,-2.4,-5,Basia Murton,bm8567
psxros71,2495196,Catherine Morabito,0,-2.9,-2.4,-4.8,-3,Patricia Jackson,hfyvek38
bnexkq44,1727566,Amber Neagle,1,-0.6,1.9,1.4,0.4,Anne Hernandez,ssujpa10
ncekgv47,2391718,Timothy Canary,0,-1.8,-1.5,-2.7,-4.8,Jeanette Lindley,mmxgfl83
upoyii79,6395499,Kevin Lampe,0,0.6,-0.4,0.9,2.9,Patricia Jackson,hfyvek38
dzwomq11,5776465,Jillian Griffin,1,-2.2,4.3,3.5,2.1,Paul Prince,wndznn45
cqhmgz51,2793693,Ricky Covino,0,-1,2,0.3,-1.6,Fred Johnson,fj123
ojqbdy42,5540865,Ricardo Clark,1,1.8,3.1,3.5,-4.8,Irene Feldman,ekhymj67
wnqlge66,1321352,John Gallagher,0,-3.1,1.7,4.5,3.5,Michelle Cuellar,oqgnwy64
yszqjl68,9441581,Bobbie Canada,0,-0.3,2.5,2.4,2.8,Basia Murton,bm8567
pshqjz69,6696633,Naomi Hawkins,0,-0.6,4.4,4.6,1.9,Marie Roberts,vnxici28
iysqli31,0764314,Kelli Sassaman,1,0.5,4.3,4.5,2.5,Michelle Cuellar,oqgnwy64
ppgdoy01,4331857,Michael Harrist,0,2.1,4.6,5,4.8,Jeanette Lindley,mmxgfl83
omqqxj91,9330726,John Timme,0,1.3,3.6,3.5,2.6,Michelle Cuellar,oqgnwy64
wosbvy84,0192407,Jamie Lockwood,0,1.5,4.2,3,3,Dawn Curtin,sweucq96
ttufzq32,6716101,Richard Collins,0,0.5,4,4.1,-3.3,Anne Hernandez,ssujpa10
jwfgje34,5814426,Linda Fisher,1,1.4,3.9,3.5,4.4,Irene Feldman,ekhymj67
dfqigc86,0876774,Lucy Goodman,0,0.1,2.8,4.7,3.9,Samuel Dalton,wpqorn73
maqjdx88,6484592,Harry Barraza,0,1.6,2.5,3.1,3.9,Dawn Curtin,sweucq96
rapuww41,6724428,Micheal Hebert,0,0.5,-0.7,4,3,Emily Santos-Bacca,esb99
asqyfe30,4662223,Lorenzo Preston,0,0.6,4.4,4.6,3.1,Patricia Jackson,hfyvek38
ctprfh29,7115811,Thomas Broadbent,1,-1.6,1.8,2.7,1.2,Basia Murton,bm8567
cwbsmf55,4134901,Dora Southall,0,0.6,2.7,1.4,1.2,Emily Santos-Bacca,esb99
urgiab07,2624836,Maria Walker,1,-2.8,0.4,2.7,1.5,Michelle Cuellar,oqgnwy64
ctlrzt77,4889104,Theresa Murphy,0,0.2,3,4.1,4.3,Basia Murton,bm8567
dlwiif44,1839662,Arnold Gordon,0,-0.4,3.2,4.2,2,Irene Feldman,ekhymj67
rmscqt95,3479462,Phillip Taylor,1,0.1,1.5,2.1,3.4,Dawn Curtin,sweucq96
pzicif62,2936447,Felix Walker,0,-1.1,2,5,2.7,Michelle Cuellar,oqgnwy64
sceulo40,6705329,Jenifer Nunn,0,0.4,2.2,3.6,3.5,Paul Prince,wndznn45
cjunvs43,7042022,Dwayne Orellana,0,1.7,4.3,4.2,2,Paul Prince,wndznn45
uvkdce11,1194420,Miles Graham,0,0.6,3.3,4.2,3.4,Irene Feldman,ekhymj67
gcepvy27,8627742,Calvin Woodis,0,-2,-0,0.5,-1.5,Patricia Jackson,hfyvek38
rkgwmu18,6221161,Napoleon Moore,0,0.3,0.3,2.3,4.2,Jeanette Lindley,mmxgfl83
uaszgu03,6812861,Alex Schultz,0,-1.2,1.1,0.7,-5,Dawn Curtin,sweucq96
hdzrik71,0002603,Harold White,0,-0.1,4.2,3.8,3.9,Luis Yoxall,flgkpr62
udtkkw46,3715492,Jennie Bussman,0,-3.6,-3.1,-3.4,-2.5,Kenyatta Berrios,ysftax93
ymlaks20,4354243,Steven Peterson,0,1.6,2,1,1.9,Luis Yoxall,flgkpr62
kcxhrj14,6200514,Tiffany Fulton,0,-2.4,2.7,0.7,0.2,Dawn Curtin,sweucq96
zdckrt04,4947176,Cynthia Aguilar,0,-1,1.3,3.2,4.6,Patricia Jackson,hfyvek38
ooscpa28,1676071,Tameka Forman,0,-1.3,3.5,0.5,1.9,Michelle Cuellar,oqgnwy64
hsxbsp02,4002589,Angle Eddy,0,0.5,3,3.4,0.2,Emily Santos-Bacca,esb99
ixlfob12,5226293,Paul Schneider,1,-2,1.8,3,-0.7,Patricia Jackson,hfyvek38
tbhtlq93,7029572,Jarrod Charlton,0,-0.3,3.6,4.3,2,Basia Murton,bm8567
yozhzs24,9556200,Richard Goldberg,0,-1,0.5,3.8,1.1,Samuel Dalton,wpqorn73
